tokens per iteration: 524,288
DataLoader: total number of tokens: 5,000,000,000 across 50 files
DataLoader: total number of tokens: 100,000,000 across 1 files
compiling the model...
run_id: ebe9dcc0-c35a-4cea-9a56-00ba8c90e3ea
step:0/4768 | val loss 10.937327
step:0/4768 | loss 0.341791 | train_time:7.53s | step_avg:7525.52ms
step:1/4768 | loss 0.338900 | train_time:14.74s | step_avg:7368.89ms
step:2/4768 | loss 0.333671 | train_time:21.95s | step_avg:7317.35ms
step:3/4768 | loss 0.327902 | train_time:29.18s | step_avg:7295.36ms
step:4/4768 | loss 0.323105 | train_time:36.40s | step_avg:7280.40ms
step:5/4768 | loss 0.318572 | train_time:43.63s | step_avg:7271.26ms
step:6/4768 | loss 0.314653 | train_time:50.85s | step_avg:7264.62ms
step:7/4768 | loss 0.310924 | train_time:58.08s | step_avg:7259.75ms
step:8/4768 | loss 0.308893 | train_time:65.30s | step_avg:7255.69ms
step:9/4768 | loss 0.306356 | train_time:72.51s | step_avg:7251.30ms
step:10/4768 | loss 0.304185 | train_time:79.74s | step_avg:7248.77ms
step:11/4768 | loss 0.302676 | train_time:86.96s | step_avg:7246.79ms
step:12/4768 | loss 0.299911 | train_time:94.19s | step_avg:7245.18ms
step:13/4768 | loss 0.297822 | train_time:101.41s | step_avg:7243.63ms
step:14/4768 | loss 0.295644 | train_time:108.63s | step_avg:7241.69ms
step:15/4768 | loss 0.293942 | train_time:115.84s | step_avg:7239.87ms
step:16/4768 | loss 0.291460 | train_time:123.06s | step_avg:7238.86ms
step:17/4768 | loss 0.289020 | train_time:130.29s | step_avg:7238.12ms
step:18/4768 | loss 0.286543 | train_time:137.50s | step_avg:7237.04ms
step:19/4768 | loss 0.283364 | train_time:144.71s | step_avg:7235.51ms
step:20/4768 | loss 0.280288 | train_time:151.93s | step_avg:7234.95ms
step:21/4768 | loss 0.277613 | train_time:159.15s | step_avg:7234.09ms
step:22/4768 | loss 0.273687 | train_time:166.36s | step_avg:7233.13ms
step:23/4768 | loss 0.271686 | train_time:173.59s | step_avg:7232.73ms
step:24/4768 | loss 0.267542 | train_time:180.80s | step_avg:7231.94ms
step:25/4768 | loss 0.265482 | train_time:188.01s | step_avg:7231.11ms
step:26/4768 | loss 0.262754 | train_time:195.23s | step_avg:7230.77ms
step:27/4768 | loss 0.259457 | train_time:202.45s | step_avg:7230.35ms
step:28/4768 | loss 0.257999 | train_time:209.66s | step_avg:7229.75ms
step:29/4768 | loss 0.255857 | train_time:216.89s | step_avg:7229.57ms
step:30/4768 | loss 0.253170 | train_time:224.10s | step_avg:7229.03ms
step:31/4768 | loss 0.249763 | train_time:231.31s | step_avg:7228.39ms
step:32/4768 | loss 0.248279 | train_time:238.53s | step_avg:7228.07ms
step:33/4768 | loss 0.246296 | train_time:245.73s | step_avg:7227.47ms
step:34/4768 | loss 0.246060 | train_time:252.95s | step_avg:7227.15ms
step:35/4768 | loss 0.243745 | train_time:260.16s | step_avg:7226.71ms
step:36/4768 | loss 0.242434 | train_time:267.38s | step_avg:7226.60ms
step:37/4768 | loss 0.241015 | train_time:274.60s | step_avg:7226.25ms
step:38/4768 | loss 0.241350 | train_time:281.81s | step_avg:7225.97ms
step:39/4768 | loss 0.239524 | train_time:289.03s | step_avg:7225.75ms
step:40/4768 | loss 0.239448 | train_time:296.25s | step_avg:7225.68ms
step:41/4768 | loss 0.238519 | train_time:303.47s | step_avg:7225.54ms
step:42/4768 | loss 0.240144 | train_time:310.68s | step_avg:7225.23ms
step:43/4768 | loss 0.238255 | train_time:317.90s | step_avg:7224.95ms
step:44/4768 | loss 0.238293 | train_time:325.11s | step_avg:7224.65ms
step:45/4768 | loss 0.238265 | train_time:332.32s | step_avg:7224.43ms
step:46/4768 | loss 0.238632 | train_time:339.54s | step_avg:7224.18ms
step:47/4768 | loss 0.238454 | train_time:346.75s | step_avg:7223.95ms
step:48/4768 | loss 0.236968 | train_time:353.96s | step_avg:7223.71ms
step:49/4768 | loss 0.236400 | train_time:361.18s | step_avg:7223.59ms
step:50/4768 | loss 0.234814 | train_time:368.40s | step_avg:7223.55ms
step:51/4768 | loss 0.235072 | train_time:375.61s | step_avg:7223.29ms
step:52/4768 | loss 0.235330 | train_time:382.83s | step_avg:7223.13ms
step:53/4768 | loss 0.234610 | train_time:390.04s | step_avg:7222.91ms
step:54/4768 | loss 0.234078 | train_time:397.26s | step_avg:7222.90ms
step:55/4768 | loss 0.232552 | train_time:404.49s | step_avg:7222.99ms
step:56/4768 | loss 0.231573 | train_time:411.70s | step_avg:7222.89ms
step:57/4768 | loss 0.232379 | train_time:418.92s | step_avg:7222.83ms
step:58/4768 | loss 0.229967 | train_time:426.14s | step_avg:7222.64ms
step:59/4768 | loss 0.230687 | train_time:433.35s | step_avg:7222.45ms
step:60/4768 | loss 0.229545 | train_time:440.56s | step_avg:7222.30ms
step:61/4768 | loss 0.228793 | train_time:447.78s | step_avg:7222.29ms
step:62/4768 | loss 0.227982 | train_time:455.00s | step_avg:7222.20ms
step:63/4768 | loss 0.229993 | train_time:462.21s | step_avg:7222.04ms
step:64/4768 | loss 0.225818 | train_time:469.42s | step_avg:7221.92ms
step:65/4768 | loss 0.226275 | train_time:476.64s | step_avg:7221.78ms
step:66/4768 | loss 0.226258 | train_time:483.85s | step_avg:7221.69ms
step:67/4768 | loss 0.227644 | train_time:491.08s | step_avg:7221.76ms
step:68/4768 | loss 0.226282 | train_time:498.30s | step_avg:7221.77ms
step:69/4768 | loss 0.224946 | train_time:505.51s | step_avg:7221.60ms
step:70/4768 | loss 0.223335 | train_time:512.73s | step_avg:7221.49ms
step:71/4768 | loss 0.223185 | train_time:519.94s | step_avg:7221.32ms
step:72/4768 | loss 0.223190 | train_time:527.15s | step_avg:7221.26ms
step:73/4768 | loss 0.221467 | train_time:534.37s | step_avg:7221.27ms
step:74/4768 | loss 0.221960 | train_time:541.60s | step_avg:7221.33ms
step:75/4768 | loss 0.219709 | train_time:548.81s | step_avg:7221.16ms
step:76/4768 | loss 0.222073 | train_time:556.03s | step_avg:7221.11ms
step:77/4768 | loss 0.219468 | train_time:563.24s | step_avg:7220.97ms
step:78/4768 | loss 0.212118 | train_time:570.45s | step_avg:7220.95ms
step:79/4768 | loss 0.216658 | train_time:577.68s | step_avg:7221.00ms
step:80/4768 | loss 0.215856 | train_time:584.90s | step_avg:7220.96ms
step:81/4768 | loss 0.218046 | train_time:592.11s | step_avg:7220.85ms
step:82/4768 | loss 0.216162 | train_time:599.33s | step_avg:7220.87ms
step:83/4768 | loss 0.214488 | train_time:606.55s | step_avg:7220.85ms
step:84/4768 | loss 0.213034 | train_time:613.76s | step_avg:7220.73ms
step:85/4768 | loss 0.212020 | train_time:620.99s | step_avg:7220.79ms
step:86/4768 | loss 0.211370 | train_time:628.20s | step_avg:7220.71ms
step:87/4768 | loss 0.210100 | train_time:635.41s | step_avg:7220.61ms
step:88/4768 | loss 0.210060 | train_time:642.63s | step_avg:7220.54ms
step:89/4768 | loss 0.208874 | train_time:649.85s | step_avg:7220.53ms
step:90/4768 | loss 0.211938 | train_time:657.06s | step_avg:7220.46ms
step:91/4768 | loss 0.212597 | train_time:664.28s | step_avg:7220.40ms
step:92/4768 | loss 0.211591 | train_time:671.50s | step_avg:7220.41ms
step:93/4768 | loss 0.209175 | train_time:678.71s | step_avg:7220.34ms
step:94/4768 | loss 0.207916 | train_time:685.93s | step_avg:7220.30ms
step:95/4768 | loss 0.205630 | train_time:693.16s | step_avg:7220.37ms
step:96/4768 | loss 0.208932 | train_time:700.39s | step_avg:7220.49ms
step:97/4768 | loss 0.206299 | train_time:707.60s | step_avg:7220.43ms
step:98/4768 | loss 0.205939 | train_time:714.81s | step_avg:7220.30ms
step:99/4768 | loss 0.204695 | train_time:722.03s | step_avg:7220.29ms
step:100/4768 | loss 0.205517 | train_time:729.25s | step_avg:7220.33ms
step:101/4768 | loss 0.202522 | train_time:736.49s | step_avg:7220.44ms
step:102/4768 | loss 0.202531 | train_time:743.70s | step_avg:7220.35ms
step:103/4768 | loss 0.202015 | train_time:750.91s | step_avg:7220.30ms
step:104/4768 | loss 0.202767 | train_time:758.13s | step_avg:7220.29ms
step:105/4768 | loss 0.204491 | train_time:765.36s | step_avg:7220.34ms
step:106/4768 | loss 0.202580 | train_time:772.58s | step_avg:7220.36ms
step:107/4768 | loss 0.200720 | train_time:779.80s | step_avg:7220.35ms
step:108/4768 | loss 0.201535 | train_time:787.01s | step_avg:7220.25ms
step:109/4768 | loss 0.202185 | train_time:794.23s | step_avg:7220.25ms
step:110/4768 | loss 0.199669 | train_time:801.44s | step_avg:7220.16ms
step:111/4768 | loss 0.199751 | train_time:808.66s | step_avg:7220.13ms
step:112/4768 | loss 0.199869 | train_time:815.88s | step_avg:7220.18ms
step:113/4768 | loss 0.198369 | train_time:823.10s | step_avg:7220.16ms
step:114/4768 | loss 0.201764 | train_time:830.31s | step_avg:7220.07ms
step:115/4768 | loss 0.201440 | train_time:837.53s | step_avg:7220.05ms
step:116/4768 | loss 0.198775 | train_time:844.74s | step_avg:7219.97ms
step:117/4768 | loss 0.197462 | train_time:851.95s | step_avg:7219.92ms
step:118/4768 | loss 0.198929 | train_time:859.16s | step_avg:7219.83ms
step:119/4768 | loss 0.197271 | train_time:866.39s | step_avg:7219.90ms
step:120/4768 | loss 0.197250 | train_time:873.60s | step_avg:7219.85ms
step:121/4768 | loss 0.194734 | train_time:880.81s | step_avg:7219.75ms
step:122/4768 | loss 0.197238 | train_time:888.03s | step_avg:7219.72ms
step:123/4768 | loss 0.195090 | train_time:895.24s | step_avg:7219.65ms
step:124/4768 | loss 0.194198 | train_time:902.45s | step_avg:7219.61ms
step:125/4768 | loss 0.193401 | train_time:909.68s | step_avg:7219.67ms
step:126/4768 | loss 0.196261 | train_time:916.90s | step_avg:7219.71ms
step:127/4768 | loss 0.193231 | train_time:924.12s | step_avg:7219.72ms
step:128/4768 | val loss 6.243520
step:128/4768 | loss 0.195095 | train_time:931.34s | step_avg:7219.70ms
step:129/4768 | loss 0.194038 | train_time:938.56s | step_avg:7219.68ms
step:130/4768 | loss 0.195129 | train_time:945.79s | step_avg:7219.75ms
step:131/4768 | loss 0.192956 | train_time:953.00s | step_avg:7219.73ms
step:132/4768 | loss 0.190476 | train_time:960.22s | step_avg:7219.68ms
step:133/4768 | loss 0.192019 | train_time:967.43s | step_avg:7219.64ms
step:134/4768 | loss 0.192035 | train_time:974.66s | step_avg:7219.67ms
step:135/4768 | loss 0.190031 | train_time:981.86s | step_avg:7219.56ms
step:136/4768 | loss 0.192105 | train_time:989.08s | step_avg:7219.55ms
step:137/4768 | loss 0.191193 | train_time:996.28s | step_avg:7219.45ms
step:138/4768 | loss 0.189232 | train_time:1003.50s | step_avg:7219.45ms
step:139/4768 | loss 0.191267 | train_time:1010.71s | step_avg:7219.33ms
step:140/4768 | loss 0.188021 | train_time:1017.93s | step_avg:7219.33ms
step:141/4768 | loss 0.191293 | train_time:1025.15s | step_avg:7219.38ms
step:142/4768 | loss 0.189599 | train_time:1032.36s | step_avg:7219.31ms
step:143/4768 | loss 0.189564 | train_time:1039.58s | step_avg:7219.30ms
step:144/4768 | loss 0.188445 | train_time:1046.78s | step_avg:7219.18ms
step:145/4768 | loss 0.186278 | train_time:1053.99s | step_avg:7219.09ms
step:146/4768 | loss 0.187925 | train_time:1061.21s | step_avg:7219.10ms
step:147/4768 | loss 0.190049 | train_time:1068.43s | step_avg:7219.15ms
step:148/4768 | loss 0.189688 | train_time:1075.65s | step_avg:7219.12ms
step:149/4768 | loss 0.189419 | train_time:1082.86s | step_avg:7219.10ms
step:150/4768 | loss 0.189168 | train_time:1090.08s | step_avg:7219.06ms
step:151/4768 | loss 0.186109 | train_time:1097.29s | step_avg:7218.99ms
step:152/4768 | loss 0.187040 | train_time:1104.50s | step_avg:7218.97ms
step:153/4768 | loss 0.186255 | train_time:1111.72s | step_avg:7218.94ms
step:154/4768 | loss 0.187829 | train_time:1118.94s | step_avg:7218.95ms
step:155/4768 | loss 0.187191 | train_time:1126.15s | step_avg:7218.93ms
step:156/4768 | loss 0.188053 | train_time:1133.35s | step_avg:7218.81ms
step:157/4768 | loss 0.184864 | train_time:1140.56s | step_avg:7218.73ms
step:158/4768 | loss 0.184433 | train_time:1147.78s | step_avg:7218.73ms
step:159/4768 | loss 0.185100 | train_time:1154.98s | step_avg:7218.63ms
step:160/4768 | loss 0.185096 | train_time:1162.19s | step_avg:7218.55ms
step:161/4768 | loss 0.184646 | train_time:1169.41s | step_avg:7218.56ms
step:162/4768 | loss 0.183034 | train_time:1176.63s | step_avg:7218.57ms
step:163/4768 | loss 0.183907 | train_time:1183.84s | step_avg:7218.52ms
step:164/4768 | loss 0.182877 | train_time:1191.05s | step_avg:7218.49ms
step:165/4768 | loss 0.183859 | train_time:1198.26s | step_avg:7218.44ms
step:166/4768 | loss 0.181929 | train_time:1205.48s | step_avg:7218.43ms
step:167/4768 | loss 0.182274 | train_time:1212.68s | step_avg:7218.34ms
step:168/4768 | loss 0.180863 | train_time:1219.89s | step_avg:7218.28ms
step:169/4768 | loss 0.179649 | train_time:1227.10s | step_avg:7218.26ms
step:170/4768 | loss 0.178602 | train_time:1234.31s | step_avg:7218.21ms
step:171/4768 | loss 0.182819 | train_time:1241.53s | step_avg:7218.20ms
step:172/4768 | loss 0.183389 | train_time:1248.75s | step_avg:7218.21ms
step:173/4768 | loss 0.185379 | train_time:1255.96s | step_avg:7218.17ms
step:174/4768 | loss 0.183839 | train_time:1263.18s | step_avg:7218.16ms
step:175/4768 | loss 0.181663 | train_time:1270.38s | step_avg:7218.09ms
step:176/4768 | loss 0.180536 | train_time:1277.59s | step_avg:7218.02ms
step:177/4768 | loss 0.181182 | train_time:1284.80s | step_avg:7217.99ms
step:178/4768 | loss 0.181878 | train_time:1292.01s | step_avg:7217.92ms
step:179/4768 | loss 0.179910 | train_time:1299.23s | step_avg:7217.94ms
step:180/4768 | loss 0.178655 | train_time:1306.45s | step_avg:7217.96ms
step:181/4768 | loss 0.179523 | train_time:1313.65s | step_avg:7217.88ms
step:182/4768 | loss 0.177706 | train_time:1320.87s | step_avg:7217.84ms
step:183/4768 | loss 0.180119 | train_time:1328.09s | step_avg:7217.86ms
step:184/4768 | loss 0.178626 | train_time:1335.30s | step_avg:7217.84ms
