tokens per iteration: 524,288
DataLoader: total number of tokens: 5,000,000,000 across 50 files
DataLoader: total number of tokens: 100,000,000 across 1 files
compiling the model...
step:0/4768 | val loss 11.011874
step:0/4768 | loss 0.344284 | train_time:6.15s | step_avg:6145.52ms
step:1/4768 | loss 0.339534 | train_time:12.05s | step_avg:6023.77ms
step:2/4768 | loss 0.331432 | train_time:17.95s | step_avg:5983.71ms
step:3/4768 | loss 0.322270 | train_time:23.85s | step_avg:5963.68ms
step:4/4768 | loss 0.314842 | train_time:29.76s | step_avg:5952.92ms
step:5/4768 | loss 0.308253 | train_time:35.66s | step_avg:5943.29ms
step:6/4768 | loss 0.303722 | train_time:41.55s | step_avg:5936.21ms
step:7/4768 | loss 0.299312 | train_time:47.45s | step_avg:5930.86ms
step:8/4768 | loss 0.298163 | train_time:53.34s | step_avg:5926.53ms
step:9/4768 | loss 0.295297 | train_time:59.23s | step_avg:5923.00ms
step:10/4768 | loss 0.293803 | train_time:65.12s | step_avg:5920.37ms
step:11/4768 | loss 0.291993 | train_time:71.02s | step_avg:5918.16ms
step:12/4768 | loss 0.289093 | train_time:76.91s | step_avg:5916.12ms
step:13/4768 | loss 0.286095 | train_time:82.80s | step_avg:5914.42ms
step:14/4768 | loss 0.284044 | train_time:88.69s | step_avg:5912.89ms
step:15/4768 | loss 0.281519 | train_time:94.59s | step_avg:5911.61ms
step:16/4768 | loss 0.278823 | train_time:100.48s | step_avg:5910.59ms
step:17/4768 | loss 0.275827 | train_time:106.38s | step_avg:5909.79ms
step:18/4768 | loss 0.274223 | train_time:112.27s | step_avg:5908.96ms
step:19/4768 | loss 0.269880 | train_time:118.16s | step_avg:5908.20ms
step:20/4768 | loss 0.267195 | train_time:124.06s | step_avg:5907.50ms
step:21/4768 | loss 0.264902 | train_time:129.95s | step_avg:5906.83ms
step:22/4768 | loss 0.259750 | train_time:135.84s | step_avg:5906.23ms
step:23/4768 | loss 0.258388 | train_time:141.74s | step_avg:5905.63ms
step:24/4768 | loss 0.254299 | train_time:147.63s | step_avg:5905.08ms
step:25/4768 | loss 0.252748 | train_time:153.52s | step_avg:5904.61ms
step:26/4768 | loss 0.250159 | train_time:159.41s | step_avg:5904.21ms
step:27/4768 | loss 0.246304 | train_time:165.31s | step_avg:5903.81ms
step:28/4768 | loss 0.245487 | train_time:171.20s | step_avg:5903.39ms
step:29/4768 | loss 0.243538 | train_time:177.09s | step_avg:5902.97ms
step:30/4768 | loss 0.241202 | train_time:182.98s | step_avg:5902.62ms
step:31/4768 | loss 0.237254 | train_time:188.87s | step_avg:5902.22ms
step:32/4768 | loss 0.235979 | train_time:194.76s | step_avg:5901.93ms
step:33/4768 | loss 0.234030 | train_time:200.65s | step_avg:5901.61ms
step:34/4768 | loss 0.234698 | train_time:206.55s | step_avg:5901.31ms
step:35/4768 | loss 0.231540 | train_time:212.44s | step_avg:5901.06ms
step:36/4768 | loss 0.230485 | train_time:218.33s | step_avg:5900.82ms
step:37/4768 | loss 0.228828 | train_time:224.22s | step_avg:5900.61ms
step:38/4768 | loss 0.229471 | train_time:230.12s | step_avg:5900.39ms
step:39/4768 | loss 0.227561 | train_time:236.01s | step_avg:5900.16ms
step:40/4768 | loss 0.226734 | train_time:241.90s | step_avg:5899.97ms
step:41/4768 | loss 0.224749 | train_time:247.79s | step_avg:5899.79ms
step:42/4768 | loss 0.226328 | train_time:253.68s | step_avg:5899.59ms
step:43/4768 | loss 0.223319 | train_time:259.58s | step_avg:5899.44ms
step:44/4768 | loss 0.222591 | train_time:265.47s | step_avg:5899.23ms
step:45/4768 | loss 0.222578 | train_time:271.36s | step_avg:5899.09ms
step:46/4768 | loss 0.222186 | train_time:277.25s | step_avg:5898.94ms
step:47/4768 | loss 0.221924 | train_time:283.14s | step_avg:5898.83ms
step:48/4768 | loss 0.219770 | train_time:289.04s | step_avg:5898.77ms
step:49/4768 | loss 0.219318 | train_time:294.94s | step_avg:5898.72ms
step:50/4768 | loss 0.217207 | train_time:300.83s | step_avg:5898.67ms
step:51/4768 | loss 0.217776 | train_time:306.73s | step_avg:5898.69ms
step:52/4768 | loss 0.217266 | train_time:312.63s | step_avg:5898.63ms
step:53/4768 | loss 0.216317 | train_time:318.52s | step_avg:5898.58ms
step:54/4768 | loss 0.216019 | train_time:324.42s | step_avg:5898.52ms
step:55/4768 | loss 0.213839 | train_time:330.32s | step_avg:5898.49ms
step:56/4768 | loss 0.212777 | train_time:336.21s | step_avg:5898.43ms
step:57/4768 | loss 0.213388 | train_time:342.11s | step_avg:5898.38ms
step:58/4768 | loss 0.210854 | train_time:348.00s | step_avg:5898.30ms
step:59/4768 | loss 0.211623 | train_time:353.90s | step_avg:5898.30ms
step:60/4768 | loss 0.211084 | train_time:359.79s | step_avg:5898.27ms
step:61/4768 | loss 0.209999 | train_time:365.69s | step_avg:5898.29ms
step:62/4768 | loss 0.209262 | train_time:371.59s | step_avg:5898.33ms
step:63/4768 | loss 0.211208 | train_time:377.50s | step_avg:5898.37ms
step:64/4768 | loss 0.207164 | train_time:383.39s | step_avg:5898.37ms
step:65/4768 | loss 0.207795 | train_time:389.29s | step_avg:5898.40ms
step:66/4768 | loss 0.207814 | train_time:395.19s | step_avg:5898.42ms
step:67/4768 | loss 0.209403 | train_time:401.09s | step_avg:5898.45ms
step:68/4768 | loss 0.207426 | train_time:406.99s | step_avg:5898.47ms
step:69/4768 | loss 0.206713 | train_time:412.89s | step_avg:5898.47ms
