tokens per iteration: 524,288
DataLoader: total number of tokens: 5,000,000,000 across 50 files
DataLoader: total number of tokens: 100,000,000 across 1 files
compiling the model...
Model passed causality check.
step:0/4768 | val loss 10.977989
step:0/4768 | loss 0.343134 | train_time:9.35s | step_avg:9350.92ms
step:1/4768 | loss 0.339577 | train_time:17.90s | step_avg:8951.07ms
step:2/4768 | loss 0.333160 | train_time:26.46s | step_avg:8819.53ms
step:3/4768 | loss 0.326148 | train_time:35.02s | step_avg:8754.54ms
step:4/4768 | loss 0.320004 | train_time:43.58s | step_avg:8715.37ms
step:5/4768 | loss 0.314427 | train_time:52.14s | step_avg:8689.36ms
step:6/4768 | loss 0.309983 | train_time:60.70s | step_avg:8671.83ms
step:7/4768 | loss 0.305726 | train_time:69.27s | step_avg:8658.53ms
step:8/4768 | loss 0.303776 | train_time:77.83s | step_avg:8648.09ms
step:9/4768 | loss 0.301310 | train_time:86.40s | step_avg:8639.90ms
step:10/4768 | loss 0.298941 | train_time:94.97s | step_avg:8633.48ms
step:11/4768 | loss 0.297549 | train_time:103.53s | step_avg:8627.58ms
step:12/4768 | loss 0.294635 | train_time:112.11s | step_avg:8623.66ms
step:13/4768 | loss 0.292230 | train_time:120.68s | step_avg:8619.66ms
step:14/4768 | loss 0.290116 | train_time:129.26s | step_avg:8617.21ms
step:15/4768 | loss 0.288439 | train_time:137.83s | step_avg:8614.66ms
step:16/4768 | loss 0.285851 | train_time:146.41s | step_avg:8612.44ms
step:17/4768 | loss 0.283216 | train_time:154.97s | step_avg:8609.65ms
step:18/4768 | loss 0.281132 | train_time:163.54s | step_avg:8607.45ms
step:19/4768 | loss 0.277694 | train_time:172.11s | step_avg:8605.59ms
step:20/4768 | loss 0.274795 | train_time:180.69s | step_avg:8604.20ms
step:21/4768 | loss 0.272206 | train_time:189.27s | step_avg:8603.08ms
step:22/4768 | loss 0.268234 | train_time:197.84s | step_avg:8601.60ms
step:23/4768 | loss 0.266517 | train_time:206.41s | step_avg:8600.36ms
step:24/4768 | loss 0.262318 | train_time:214.98s | step_avg:8599.21ms
step:25/4768 | loss 0.260522 | train_time:223.55s | step_avg:8597.92ms
step:26/4768 | loss 0.258120 | train_time:232.11s | step_avg:8596.81ms
step:27/4768 | loss 0.254945 | train_time:240.69s | step_avg:8596.11ms
step:28/4768 | loss 0.253738 | train_time:249.26s | step_avg:8595.02ms
step:29/4768 | loss 0.251928 | train_time:257.82s | step_avg:8594.04ms
step:30/4768 | loss 0.249628 | train_time:266.39s | step_avg:8593.10ms
step:31/4768 | loss 0.246486 | train_time:274.96s | step_avg:8592.54ms
step:32/4768 | loss 0.245445 | train_time:283.53s | step_avg:8591.89ms
step:33/4768 | loss 0.243788 | train_time:292.18s | step_avg:8593.55ms
step:34/4768 | loss 0.244065 | train_time:300.79s | step_avg:8594.06ms
step:35/4768 | loss 0.241969 | train_time:309.37s | step_avg:8593.57ms
step:36/4768 | loss 0.241127 | train_time:317.94s | step_avg:8592.94ms
step:37/4768 | loss 0.239747 | train_time:326.50s | step_avg:8592.21ms
step:38/4768 | loss 0.240481 | train_time:335.08s | step_avg:8591.92ms
step:39/4768 | loss 0.238875 | train_time:343.66s | step_avg:8591.41ms
step:40/4768 | loss 0.239156 | train_time:352.22s | step_avg:8590.71ms
step:41/4768 | loss 0.238216 | train_time:360.79s | step_avg:8590.14ms
step:42/4768 | loss 0.239917 | train_time:369.36s | step_avg:8589.73ms
step:43/4768 | loss 0.238140 | train_time:377.93s | step_avg:8589.38ms
step:44/4768 | loss 0.238117 | train_time:386.51s | step_avg:8589.19ms
step:45/4768 | loss 0.238106 | train_time:395.08s | step_avg:8588.71ms
step:46/4768 | loss 0.238308 | train_time:403.65s | step_avg:8588.20ms
step:47/4768 | loss 0.238259 | train_time:412.21s | step_avg:8587.75ms
step:48/4768 | loss 0.236707 | train_time:420.78s | step_avg:8587.36ms
step:49/4768 | loss 0.236289 | train_time:429.35s | step_avg:8587.01ms
step:50/4768 | loss 0.234510 | train_time:437.93s | step_avg:8586.82ms
step:51/4768 | loss 0.234479 | train_time:446.50s | step_avg:8586.48ms
step:52/4768 | loss 0.234785 | train_time:455.07s | step_avg:8586.23ms
step:53/4768 | loss 0.234311 | train_time:463.64s | step_avg:8585.92ms
step:54/4768 | loss 0.234702 | train_time:472.21s | step_avg:8585.72ms
step:55/4768 | loss 0.233594 | train_time:480.79s | step_avg:8585.47ms
step:56/4768 | loss 0.231960 | train_time:489.35s | step_avg:8585.14ms
step:57/4768 | loss 0.233590 | train_time:497.92s | step_avg:8584.89ms
step:58/4768 | loss 0.230656 | train_time:506.49s | step_avg:8584.58ms
step:59/4768 | loss 0.231625 | train_time:515.06s | step_avg:8584.35ms
step:60/4768 | loss 0.230877 | train_time:523.63s | step_avg:8584.14ms
step:61/4768 | loss 0.229551 | train_time:532.19s | step_avg:8583.79ms
step:62/4768 | loss 0.229174 | train_time:540.76s | step_avg:8583.44ms
step:63/4768 | loss 0.231137 | train_time:549.33s | step_avg:8583.23ms
step:64/4768 | loss 0.226479 | train_time:557.89s | step_avg:8582.94ms
step:65/4768 | loss 0.226881 | train_time:566.46s | step_avg:8582.65ms
step:66/4768 | loss 0.226313 | train_time:575.01s | step_avg:8582.29ms
step:67/4768 | loss 0.226967 | train_time:583.58s | step_avg:8582.02ms
step:68/4768 | loss 0.224599 | train_time:592.14s | step_avg:8581.77ms
step:69/4768 | loss 0.224025 | train_time:600.70s | step_avg:8581.46ms
step:70/4768 | loss 0.224700 | train_time:609.27s | step_avg:8581.27ms
step:71/4768 | loss 0.222238 | train_time:617.84s | step_avg:8581.13ms
step:72/4768 | loss 0.223746 | train_time:626.42s | step_avg:8581.10ms
step:73/4768 | loss 0.220995 | train_time:635.00s | step_avg:8581.03ms
step:74/4768 | loss 0.221853 | train_time:643.57s | step_avg:8580.91ms
step:75/4768 | loss 0.219887 | train_time:652.15s | step_avg:8580.91ms
step:76/4768 | loss 0.221521 | train_time:660.73s | step_avg:8580.88ms
step:77/4768 | loss 0.219292 | train_time:669.31s | step_avg:8580.83ms
step:78/4768 | loss 0.212115 | train_time:677.88s | step_avg:8580.74ms
step:79/4768 | loss 0.216495 | train_time:686.45s | step_avg:8580.68ms
step:80/4768 | loss 0.215609 | train_time:695.04s | step_avg:8580.70ms
step:81/4768 | loss 0.217752 | train_time:703.62s | step_avg:8580.72ms
step:82/4768 | loss 0.216066 | train_time:712.21s | step_avg:8580.79ms
step:83/4768 | loss 0.214400 | train_time:720.79s | step_avg:8580.85ms
step:84/4768 | loss 0.213136 | train_time:729.37s | step_avg:8580.83ms
step:85/4768 | loss 0.212011 | train_time:737.94s | step_avg:8580.73ms
step:86/4768 | loss 0.211347 | train_time:746.52s | step_avg:8580.72ms
step:87/4768 | loss 0.210424 | train_time:755.10s | step_avg:8580.69ms
step:88/4768 | loss 0.210211 | train_time:763.68s | step_avg:8580.73ms
step:89/4768 | loss 0.209037 | train_time:772.28s | step_avg:8580.89ms
step:90/4768 | loss 0.209820 | train_time:780.86s | step_avg:8580.92ms
step:91/4768 | loss 0.209574 | train_time:789.45s | step_avg:8580.99ms
step:92/4768 | loss 0.209439 | train_time:798.03s | step_avg:8580.94ms
step:93/4768 | loss 0.207664 | train_time:806.62s | step_avg:8581.02ms
step:94/4768 | loss 0.206271 | train_time:815.20s | step_avg:8581.09ms
step:95/4768 | loss 0.204542 | train_time:823.79s | step_avg:8581.13ms
step:96/4768 | loss 0.208013 | train_time:832.37s | step_avg:8581.17ms
step:97/4768 | loss 0.207152 | train_time:840.96s | step_avg:8581.21ms
step:98/4768 | loss 0.205950 | train_time:849.54s | step_avg:8581.20ms
step:99/4768 | loss 0.204038 | train_time:858.12s | step_avg:8581.17ms
step:100/4768 | loss 0.205796 | train_time:866.70s | step_avg:8581.18ms
step:101/4768 | loss 0.202471 | train_time:875.28s | step_avg:8581.15ms
step:102/4768 | loss 0.202173 | train_time:883.85s | step_avg:8581.08ms
step:103/4768 | loss 0.202252 | train_time:892.43s | step_avg:8581.09ms
step:104/4768 | loss 0.202374 | train_time:901.01s | step_avg:8581.07ms
step:105/4768 | loss 0.204310 | train_time:909.59s | step_avg:8581.08ms
step:106/4768 | loss 0.202399 | train_time:918.17s | step_avg:8581.06ms
step:107/4768 | loss 0.200415 | train_time:926.76s | step_avg:8581.07ms
step:108/4768 | loss 0.201447 | train_time:935.33s | step_avg:8581.02ms
step:109/4768 | loss 0.202011 | train_time:943.91s | step_avg:8580.96ms
step:110/4768 | loss 0.199433 | train_time:952.49s | step_avg:8580.95ms
step:111/4768 | loss 0.200059 | train_time:961.07s | step_avg:8580.95ms
step:112/4768 | loss 0.200356 | train_time:969.64s | step_avg:8580.88ms
step:113/4768 | loss 0.198661 | train_time:978.21s | step_avg:8580.83ms
step:114/4768 | loss 0.199984 | train_time:986.79s | step_avg:8580.78ms
step:115/4768 | loss 0.198396 | train_time:995.37s | step_avg:8580.76ms
step:116/4768 | loss 0.197855 | train_time:1003.95s | step_avg:8580.79ms
step:117/4768 | loss 0.196196 | train_time:1012.53s | step_avg:8580.78ms
step:118/4768 | loss 0.197962 | train_time:1021.11s | step_avg:8580.77ms
step:119/4768 | loss 0.195488 | train_time:1029.69s | step_avg:8580.73ms
step:120/4768 | loss 0.195866 | train_time:1038.27s | step_avg:8580.74ms
step:121/4768 | loss 0.193353 | train_time:1046.85s | step_avg:8580.72ms
step:122/4768 | loss 0.196055 | train_time:1055.43s | step_avg:8580.72ms
step:123/4768 | loss 0.193560 | train_time:1064.01s | step_avg:8580.69ms
step:124/4768 | loss 0.193237 | train_time:1072.58s | step_avg:8580.64ms
step:125/4768 | loss 0.192601 | train_time:1081.16s | step_avg:8580.65ms
step:126/4768 | loss 0.195438 | train_time:1089.75s | step_avg:8580.69ms
step:127/4768 | loss 0.192339 | train_time:1098.33s | step_avg:8580.67ms
step:128/4768 | val loss 6.217859
step:128/4768 | loss 0.194272 | train_time:1106.91s | step_avg:8580.68ms
step:129/4768 | loss 0.192980 | train_time:1115.49s | step_avg:8580.73ms
step:130/4768 | loss 0.194558 | train_time:1124.07s | step_avg:8580.72ms
step:131/4768 | loss 0.192732 | train_time:1132.65s | step_avg:8580.72ms
step:132/4768 | loss 0.190898 | train_time:1141.23s | step_avg:8580.70ms
step:133/4768 | loss 0.191515 | train_time:1149.81s | step_avg:8580.66ms
step:134/4768 | loss 0.191954 | train_time:1158.39s | step_avg:8580.68ms
step:135/4768 | loss 0.187932 | train_time:1166.97s | step_avg:8580.69ms
step:136/4768 | loss 0.189684 | train_time:1175.55s | step_avg:8580.66ms
step:137/4768 | loss 0.190432 | train_time:1184.13s | step_avg:8580.63ms
step:138/4768 | loss 0.188574 | train_time:1192.70s | step_avg:8580.59ms
step:139/4768 | loss 0.190098 | train_time:1201.28s | step_avg:8580.57ms
step:140/4768 | loss 0.187552 | train_time:1209.86s | step_avg:8580.59ms
step:141/4768 | loss 0.190132 | train_time:1218.44s | step_avg:8580.55ms
step:142/4768 | loss 0.188877 | train_time:1227.01s | step_avg:8580.51ms
step:143/4768 | loss 0.188631 | train_time:1235.60s | step_avg:8580.53ms
step:144/4768 | loss 0.187881 | train_time:1244.18s | step_avg:8580.58ms
step:145/4768 | loss 0.185788 | train_time:1252.77s | step_avg:8580.59ms
step:146/4768 | loss 0.186204 | train_time:1261.34s | step_avg:8580.57ms
step:147/4768 | loss 0.187407 | train_time:1269.92s | step_avg:8580.56ms
step:148/4768 | loss 0.187818 | train_time:1278.50s | step_avg:8580.52ms
step:149/4768 | loss 0.186151 | train_time:1287.07s | step_avg:8580.49ms
step:150/4768 | loss 0.185736 | train_time:1295.66s | step_avg:8580.51ms
step:151/4768 | loss 0.183877 | train_time:1304.25s | step_avg:8580.59ms
step:152/4768 | loss 0.185889 | train_time:1312.83s | step_avg:8580.60ms
step:153/4768 | loss 0.183813 | train_time:1321.42s | step_avg:8580.65ms
step:154/4768 | loss 0.186399 | train_time:1330.00s | step_avg:8580.67ms
step:155/4768 | loss 0.185424 | train_time:1338.58s | step_avg:8580.64ms
step:156/4768 | loss 0.186064 | train_time:1347.16s | step_avg:8580.63ms
step:157/4768 | loss 0.183135 | train_time:1355.74s | step_avg:8580.66ms
step:158/4768 | loss 0.183737 | train_time:1364.32s | step_avg:8580.66ms
step:159/4768 | loss 0.184967 | train_time:1372.91s | step_avg:8580.66ms
step:160/4768 | loss 0.183917 | train_time:1381.49s | step_avg:8580.66ms
step:161/4768 | loss 0.184249 | train_time:1390.06s | step_avg:8580.62ms
step:162/4768 | loss 0.181755 | train_time:1398.64s | step_avg:8580.62ms
step:163/4768 | loss 0.182779 | train_time:1407.23s | step_avg:8580.66ms
step:164/4768 | loss 0.181926 | train_time:1415.81s | step_avg:8580.66ms
step:165/4768 | loss 0.183113 | train_time:1424.39s | step_avg:8580.65ms
step:166/4768 | loss 0.181472 | train_time:1432.98s | step_avg:8580.69ms
step:167/4768 | loss 0.182443 | train_time:1441.55s | step_avg:8580.68ms
step:168/4768 | loss 0.180096 | train_time:1450.13s | step_avg:8580.65ms
step:169/4768 | loss 0.179079 | train_time:1458.71s | step_avg:8580.67ms
step:170/4768 | loss 0.177754 | train_time:1467.29s | step_avg:8580.64ms
step:171/4768 | loss 0.181204 | train_time:1475.87s | step_avg:8580.66ms
step:172/4768 | loss 0.178608 | train_time:1484.46s | step_avg:8580.68ms
step:173/4768 | loss 0.181798 | train_time:1493.04s | step_avg:8580.71ms
step:174/4768 | loss 0.183026 | train_time:1501.63s | step_avg:8580.75ms
