tokens per iteration: 524,288
DataLoader: total number of tokens: 5,000,000,000 across 50 files
DataLoader: total number of tokens: 100,000,000 across 1 files
compiling the model...
Model passed causality check.
step:0/4768 | val loss 11.018694
step:0/4768 | [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
step:0/4768 | loss 0.344153 | train_time:9.29s | step_avg:9293.67ms
step:1/4768 | loss 0.340746 | train_time:18.23s | step_avg:9114.23ms
step:2/4768 | loss 0.334392 | train_time:27.16s | step_avg:9054.50ms
step:3/4768 | loss 0.327281 | train_time:36.10s | step_avg:9025.08ms
step:4/4768 | loss 0.321051 | train_time:45.03s | step_avg:9006.80ms
step:5/4768 | loss 0.315488 | train_time:53.97s | step_avg:8994.68ms
step:6/4768 | loss 0.310738 | train_time:62.90s | step_avg:8985.69ms
step:7/4768 | loss 0.306175 | train_time:71.83s | step_avg:8978.59ms
step:8/4768 | loss 0.304173 | train_time:80.76s | step_avg:8973.21ms
step:9/4768 | loss 0.301570 | train_time:89.69s | step_avg:8969.11ms
step:10/4768 | loss 0.299180 | train_time:98.64s | step_avg:8966.94ms
step:11/4768 | loss 0.297654 | train_time:107.57s | step_avg:8963.77ms
step:12/4768 | loss 0.294799 | train_time:116.50s | step_avg:8961.24ms
step:13/4768 | loss 0.292264 | train_time:125.43s | step_avg:8959.18ms
step:14/4768 | loss 0.290064 | train_time:134.37s | step_avg:8957.86ms
step:15/4768 | loss 0.288441 | train_time:143.32s | step_avg:8957.51ms
step:16/4768 | loss 0.285862 | train_time:152.27s | step_avg:8956.81ms
step:17/4768 | loss 0.283372 | train_time:161.25s | step_avg:8958.58ms
step:18/4768 | loss 0.281176 | train_time:170.25s | step_avg:8960.46ms
step:19/4768 | loss 0.277692 | train_time:179.19s | step_avg:8959.66ms
step:20/4768 | loss 0.274839 | train_time:188.13s | step_avg:8958.64ms
step:21/4768 | loss 0.272333 | train_time:197.08s | step_avg:8958.12ms
step:22/4768 | loss 0.268101 | train_time:206.01s | step_avg:8957.17ms
step:23/4768 | loss 0.266583 | train_time:214.97s | step_avg:8956.95ms
step:24/4768 | loss 0.262167 | train_time:223.93s | step_avg:8957.38ms
step:25/4768 | loss 0.260356 | train_time:232.88s | step_avg:8956.77ms
step:26/4768 | loss 0.257800 | train_time:241.83s | step_avg:8956.55ms
step:27/4768 | loss 0.254553 | train_time:250.77s | step_avg:8956.14ms
step:28/4768 | loss 0.253505 | train_time:259.71s | step_avg:8955.61ms
step:29/4768 | loss 0.251495 | train_time:268.66s | step_avg:8955.32ms
step:30/4768 | loss 0.249168 | train_time:277.61s | step_avg:8955.21ms
step:31/4768 | loss 0.245954 | train_time:286.55s | step_avg:8954.80ms
step:32/4768 | loss 0.245020 | train_time:295.51s | step_avg:8954.95ms
step:33/4768 | loss 0.243297 | train_time:304.46s | step_avg:8954.61ms
step:34/4768 | loss 0.243469 | train_time:313.42s | step_avg:8954.74ms
step:35/4768 | loss 0.241452 | train_time:322.36s | step_avg:8954.36ms
step:36/4768 | loss 0.240712 | train_time:331.29s | step_avg:8953.90ms
step:37/4768 | loss 0.239238 | train_time:340.24s | step_avg:8953.55ms
step:38/4768 | loss 0.240269 | train_time:349.19s | step_avg:8953.60ms
step:39/4768 | loss 0.238797 | train_time:358.14s | step_avg:8953.46ms
step:40/4768 | loss 0.239124 | train_time:367.08s | step_avg:8953.07ms
step:41/4768 | loss 0.238119 | train_time:376.02s | step_avg:8952.77ms
step:42/4768 | loss 0.239838 | train_time:384.97s | step_avg:8952.80ms
step:43/4768 | loss 0.237950 | train_time:393.92s | step_avg:8952.72ms
step:44/4768 | loss 0.237798 | train_time:402.87s | step_avg:8952.69ms
step:45/4768 | loss 0.237742 | train_time:411.83s | step_avg:8952.83ms
step:46/4768 | loss 0.237766 | train_time:420.78s | step_avg:8952.82ms
step:47/4768 | loss 0.237517 | train_time:429.73s | step_avg:8952.69ms
step:48/4768 | loss 0.236205 | train_time:438.69s | step_avg:8952.78ms
step:49/4768 | loss 0.236179 | train_time:447.64s | step_avg:8952.84ms
step:50/4768 | loss 0.234082 | train_time:456.60s | step_avg:8952.86ms
step:51/4768 | loss 0.233932 | train_time:465.54s | step_avg:8952.61ms
step:52/4768 | loss 0.234424 | train_time:474.47s | step_avg:8952.32ms
step:53/4768 | loss 0.233451 | train_time:483.42s | step_avg:8952.21ms
step:54/4768 | loss 0.233294 | train_time:492.37s | step_avg:8952.18ms
step:55/4768 | loss 0.231809 | train_time:501.36s | step_avg:8952.81ms
step:56/4768 | loss 0.230583 | train_time:510.29s | step_avg:8952.49ms
step:57/4768 | loss 0.231541 | train_time:519.25s | step_avg:8952.60ms
step:58/4768 | loss 0.229058 | train_time:528.21s | step_avg:8952.71ms
step:59/4768 | loss 0.229698 | train_time:537.17s | step_avg:8952.87ms
step:60/4768 | loss 0.228433 | train_time:546.12s | step_avg:8952.80ms
step:61/4768 | loss 0.227727 | train_time:555.06s | step_avg:8952.63ms
step:62/4768 | loss 0.226590 | train_time:564.00s | step_avg:8952.46ms
step:63/4768 | loss 0.228553 | train_time:572.95s | step_avg:8952.30ms
step:64/4768 | loss 0.224574 | train_time:581.89s | step_avg:8952.15ms
step:65/4768 | loss 0.225037 | train_time:590.84s | step_avg:8952.05ms
step:66/4768 | loss 0.225502 | train_time:599.78s | step_avg:8951.92ms
step:67/4768 | loss 0.226165 | train_time:608.71s | step_avg:8951.69ms
step:68/4768 | loss 0.224228 | train_time:617.65s | step_avg:8951.45ms
step:69/4768 | loss 0.223055 | train_time:626.58s | step_avg:8951.17ms
